City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Hithadhoo,MV,-0.6,73.0833,83.79,73,100,9.28,overcast clouds
123,Ketchikan,US,55.3422,-131.6461,50.38,79,94,2.57,light rain
124,Cabras,IT,39.93,8.5314,66.07,61,16,3.96,few clouds
125,Coruripe,BR,-10.1256,-36.1756,79.5,71,43,8.01,scattered clouds
126,Belousovka,KZ,50.1339,82.5239,54.45,81,5,2.71,clear sky
127,Manta,EC,-0.95,-80.7333,80.38,78,75,4.61,broken clouds
128,Cherskiy,RU,68.75,161.3,39.51,60,13,4.36,few clouds
129,Butaritari,KI,3.0707,172.7902,82.63,77,58,15.03,light rain
130,Ylivieska,FI,64.0833,24.55,46.89,96,100,4.68,overcast clouds
131,Hilo,US,19.7297,-155.09,80.8,78,75,4.61,broken clouds
132,Castro,BR,-24.7911,-50.0119,63.97,51,4,11.12,clear sky
133,Lamu,KE,-2.2717,40.902,78.93,78,39,20.2,scattered clouds
134,Zheleznogorsk-Ilimskiy,RU,56.5768,104.1217,37.31,64,91,3.13,overcast clouds
135,Alekseyevsk,RU,57.8406,108.3492,36.46,70,13,1.57,few clouds
136,Ateptsevo,RU,55.3236,36.75,57.27,96,0,5.97,clear sky
137,Tual,ID,-5.6667,132.75,82.04,81,100,24.02,overcast clouds
138,Port Blair,IN,11.6667,92.75,82.6,81,100,24.18,overcast clouds
139,Severo-Yeniseyskiy,RU,60.3725,93.0408,46.65,99,100,5.7,moderate rain
140,Coxim,BR,-18.5067,-54.76,69.01,93,100,6.02,overcast clouds
141,Hermanus,ZA,-34.4187,19.2345,64.06,56,100,7.92,overcast clouds
142,Dali,CN,25.7,100.1833,63.34,87,3,4.27,clear sky
143,Aljezur,PT,37.3191,-8.8033,59.49,68,0,18.45,clear sky
144,Kruisfontein,ZA,-34.0033,24.7314,60.87,32,22,7.14,few clouds
145,Sao Gabriel,BR,-30.3364,-54.32,55.63,69,100,19.39,overcast clouds
146,Red Bluff,US,40.1785,-122.2358,76.84,28,1,6.91,clear sky
147,Orangeburg,US,33.4918,-80.8557,91.4,29,1,5.75,clear sky
148,Gamba,GA,-2.65,10.0,77.05,88,100,6.69,overcast clouds
